symbol,name,sector,current_price,target_weight,target_amount,shares_to_buy,actual_amount,fractional_shares,order_type
MCD,McDonald's Corporation,Consumer Discretionary,280.63,0.6451612903225806,3225.8064516129034,11,3225.8064516129034,0.49487386100168784,MARKET
ORLY,"O'Reilly Automotive, Inc.",Consumer Discretionary,90.25,0.6451612903225806,3225.8064516129034,35,3225.8064516129034,0.7430077741041927,MARKET
RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary,296.3,0.6451612903225806,3225.8064516129034,10,3225.8064516129034,0.886960687184958,MARKET
ROST,"Ross Stores, Inc.",Consumer Discretionary,213.43,0.6451612903225806,3225.8064516129034,15,3225.8064516129034,0.11411915669260786,MARKET
SBUX,Starbucks Corporation,Consumer Discretionary,104.27,0.6451612903225806,3225.8064516129034,30,3225.8064516129034,0.9370523795233865,MARKET
TJX,"The TJX Companies, Inc.",Consumer Discretionary,154.26,0.6451612903225806,3225.8064516129034,20,3225.8064516129034,0.911490027310407,MARKET
TSLA,"Tesla, Inc.",Consumer Discretionary,393.45,0.6451612903225806,3225.8064516129034,8,3225.8064516129034,0.19877100422646699,MARKET
CL,Colgate-Palmolive Company,Consumer Staples,95.13,0.6451612903225806,3225.8064516129034,33,3225.806451612904,0.9094549733302202,MARKET
COST,Costco Wholesale Corporation,Consumer Staples,951.67,0.6451612903225806,3225.8064516129034,3,3225.8064516129034,0.38962713084672584,MARKET
KO,The Coca-Cola Company,Consumer Staples,84.14,0.6451612903225806,3225.8064516129034,38,3225.8064516129034,0.33856015703474185,MARKET
MDLZ,"Mondelez International, Inc.",Consumer Staples,60.91,0.6451612903225806,3225.8064516129034,52,3225.8064516129034,0.9602109934806009,MARKET
MNST,Monster Beverage Corporation,Consumer Staples,97.6,0.6451612903225806,3225.8064516129034,33,3225.8064516129034,0.05129561078794609,MARKET
PEP,"PepsiCo, Inc.",Consumer Staples,144.22,0.6451612903225806,3225.8064516129034,22,3225.806451612904,0.36726148670713954,MARKET
PG,The Procter & Gamble Company,Consumer Staples,151.41,0.6451612903225806,3225.8064516129034,21,3225.8064516129034,0.3051083258232836,MARKET
PM,Philip Morris International Inc.,Consumer Staples,182.27,0.6451612903225806,3225.8064516129034,17,3225.8064516129034,0.6979560630542778,MARKET
TGT,Target Corporation,Consumer Staples,130.21,0.6451612903225806,3225.8064516129034,24,3225.8064516129034,0.7738764427686284,MARKET
WMT,Walmart Inc.,Consumer Staples,111.84,0.6451612903225806,3225.8064516129034,28,3225.8064516129034,0.8430476717891935,MARKET
CVX,Chevron Corporation,Energy,169.2,0.6451612903225806,3225.8064516129034,19,3225.8064516129034,0.06504995043087192,MARKET
KMI,"Kinder Morgan, Inc.",Energy,32.06,0.6451612903225806,3225.8064516129034,100,3225.8064516129034,0.6177932505584209,MARKET
MPC,Marathon Petroleum Corporation,Energy,266.35,0.6451612903225806,3225.8064516129034,12,3225.8064516129034,0.1111561915258239,MARKET
VLO,Valero Energy Corporation,Energy,267.76,0.6451612903225806,3225.8064516129034,12,3225.8064516129034,0.04737993581156097,MARKET
WMB,"The Williams Companies, Inc.",Energy,73.14,0.6451612903225806,3225.8064516129034,44,3225.8064516129034,0.10454541445041343,MARKET
XOM,Exxon Mobil Corporation,Energy,137.09,0.6451612903225806,3225.8064516129034,23,3225.8064516129034,0.5305744519140951,MARKET
AXP,American Express Company,Financials,351.96,0.6451612903225806,3225.8064516129034,9,3225.806451612903,0.1652643812163408,MARKET
BAC,Bank of America Corporation,Financials,58.73,0.6451612903225806,3225.8064516129034,54,3225.8064516129034,0.9260420843334529,MARKET
BLK,"BlackRock, Inc.",Financials,995.73,0.6451612903225806,3225.8064516129034,3,3225.8064516129034,0.23963971318821686,MARKET
BNY,The Bank of New York Mellon Cor,Financials,146.62,0.6451612903225806,3225.8064516129034,22,3225.8064516129034,0.0011352585793424907,MARKET
BRK-B,Berkshire Hathaway Inc.,Financials,507.78,0.6451612903225806,3225.8064516129034,6,3225.8064516129034,0.3527638969886633,MARKET
BRK.B,Berkshire Hathaway,Financials,450.0,0.6451612903225806,3225.8064516129034,7,3225.8064516129034,0.16845878136200731,MARKET
BX,Blackstone Inc.,Financials,122.78,0.6451612903225806,3225.8064516129034,26,3225.8064516129034,0.27306117945026287,MARKET
C,Citigroup Inc.,Financials,139.97,0.6451612903225806,3225.8064516129034,23,3225.8064516129034,0.0464131714860585,MARKET
CB,Chubb Limited,Financials,361.17,0.6451612903225806,3225.8064516129034,8,3225.806451612904,0.9315459523573484,MARKET
COF,Capital One Financial Corporation,Financials,205.12,0.6451612903225806,3225.8064516129034,15,3225.8064516129034,0.7264355090332657,MARKET
GS,"The Goldman Sachs Group, Inc.",Financials,1021.0,0.6451612903225806,3225.8064516129034,3,3225.8064516129034,0.15945783703516492,MARKET
HOOD,"Robinhood Markets, Inc.",Financials,112.73,0.6451612903225806,3225.8064516129034,28,3225.8064516129034,0.6153326675499287,MARKET
IBKR,"Interactive Brokers Group, Inc.",Financials,91.33,0.6451612903225806,3225.8064516129034,35,3225.8064516129034,0.32033780371075693,MARKET
JPM,JPMorgan Chase & Co.,Financials,334.47,0.6451612903225806,3225.8064516129034,9,3225.806451612904,0.6445315024154734,MARKET
MA,Mastercard Incorporated,Financials,539.39,0.6451612903225806,3225.8064516129034,5,3225.8064516129034,0.9804713687923456,MARKET
MS,Morgan Stanley,Financials,213.93,0.6451612903225806,3225.8064516129034,15,3225.8064516129034,0.07879423929744966,MARKET
PGR,The Progressive Corporation,Financials,232.22,0.6451612903225806,3225.8064516129034,13,3225.8064516129034,0.8911654965674938,MARKET
PNC,"The PNC Financial Services Group, Inc.",Financials,249.49,0.6451612903225806,3225.8064516129034,12,3225.8064516129034,0.9296021949292683,MARKET
SCHW,The Charles Schwab Corporation,Financials,97.0,0.6451612903225806,3225.8064516129034,33,3225.806451612903,0.25573661456601116,MARKET
SPGI,S&P Global Inc.,Financials,439.89,0.6451612903225806,3225.8064516129034,7,3225.8064516129034,0.3332116020207403,MARKET
V,Visa Inc.,Financials,362.13,0.6451612903225806,3225.8064516129034,8,3225.806451612903,0.9078685875594488,MARKET
WFC,Wells Fargo & Company,Financials,85.51,0.6451612903225806,3225.8064516129034,37,3225.806451612903,0.7243182272588342,MARKET
ABBV,AbbVie Inc.,Health Care,261.07,0.6451612903225806,3225.8064516129034,12,3225.8064516129034,0.3560977960428371,MARKET
ABT,Abbott Laboratories,Health Care,95.4,0.6451612903225806,3225.8064516129034,33,3225.806451612904,0.8134848177453193,MARKET
AMGN,Amgen Inc.,Health Care,374.15,0.6451612903225806,3225.8064516129034,8,3225.8064516129034,0.6216930418626312,MARKET
BMY,Bristol-Myers Squibb Company,Health Care,58.13,0.6451612903225806,3225.8064516129034,55,3225.8064516129034,0.49297181511961696,MARKET
CVS,CVS Health Corporation,Health Care,104.72,0.6451612903225806,3225.8064516129034,30,3225.8064516129034,0.804110500505189,MARKET
DHR,Danaher Corporation,Health Care,197.93,0.6451612903225806,3225.8064516129034,16,3225.806451612903,0.29771359375993,MARKET
GILD,"Gilead Sciences, Inc.",Health Care,131.27,0.6451612903225806,3225.8064516129034,24,3225.8064516129034,0.5738283812973499,MARKET
HCA,"HCA Healthcare, Inc.",Health Care,410.5,0.6451612903225806,3225.8064516129034,7,3225.8064516129034,0.8582373973517745,MARKET
ISRG,"Intuitive Surgical, Inc.",Health Care,426.01,0.6451612903225806,3225.8064516129034,7,3225.8064516129034,0.5721378643996697,MARKET
LLY,Eli Lilly and Company,Health Care,1213.91,0.6451612903225806,3225.8064516129034,2,3225.806451612903,0.6573687107058208,MARKET
MCK,McKesson Corporation,Health Care,786.3,0.6451612903225806,3225.8064516129034,4,3225.8064516129034,0.10251361008890214,MARKET
MDT,Medtronic plc,Health Care,83.19,0.6451612903225806,3225.8064516129034,38,3225.8064516129034,0.7763727805373648,MARKET
MRK,"Merck & Co., Inc.",Health Care,129.56,0.6451612903225806,3225.8064516129034,24,3225.8064516129034,0.8981664990190126,MARKET
PFE,Pfizer Inc.,Health Care,24.32,0.6451612903225806,3225.8064516129034,132,3225.806451612903,0.6400679117147661,MARKET
SYK,Stryker Corporation,Health Care,326.54,0.6451612903225806,3225.8064516129034,9,3225.8064516129034,0.878748244052499,MARKET
TMO,Thermo Fisher Scientific Inc.,Health Care,523.44,0.6451612903225806,3225.8064516129034,6,3225.8064516129034,0.16270527971286697,MARKET
UNH,UnitedHealth Group Incorporated,Health Care,425.36,0.6451612903225806,3225.8064516129034,7,3225.8064516129034,0.5837089797181285,MARKET
VRTX,Vertex Pharmaceuticals Incorporated,Health Care,528.04,0.6451612903225806,3225.8064516129034,6,3225.8064516129034,0.1090191114553889,MARKET
BA,The Boeing Company,Industrials,226.49,0.6451612903225806,3225.8064516129034,14,3225.8064516129034,0.24259990115635688,MARKET
CAT,Caterpillar Inc.,Industrials,963.53,0.6451612903225806,3225.8064516129034,3,3225.8064516129034,0.3479045298152661,MARKET
CMI,Cummins Inc.,Industrials,661.7,0.6451612903225806,3225.8064516129034,4,3225.806451612904,0.875028640793265,MARKET
CSX,CSX Corporation,Industrials,48.89,0.6451612903225806,3225.8064516129034,65,3225.806451612904,0.9809051260565269,MARKET
DE,Deere & Company,Industrials,621.27,0.6451612903225806,3225.8064516129034,5,3225.806451612904,0.1922778367101321,MARKET
ETN,Eaton Corporation plc,Industrials,398.52,0.6451612903225806,3225.8064516129034,8,3225.8064516129034,0.09446565194445355,MARKET
GD,General Dynamics Corporation,Industrials,373.54,0.6451612903225806,3225.8064516129034,8,3225.806451612904,0.6357724784839736,MARKET
GE,GE Aerospace,Industrials,377.52,0.6451612903225806,3225.8064516129034,8,3225.8064516129034,0.5447299523545865,MARKET
GEV,GE Vernova Inc.,Industrials,1113.11,0.6451612903225806,3225.8064516129034,2,3225.8064516129034,0.8980122823556553,MARKET
HONA,Honeywell Aerospace Inc.,Industrials,247.15,0.6451612903225806,3225.8064516129034,13,3225.8064516129034,0.052018821011140304,MARKET
HWM,Howmet Aerospace Inc.,Industrials,270.41,0.6451612903225806,3225.8064516129034,11,3225.8064516129034,0.9293164143815069,MARKET
ITW,Illinois Tool Works Inc.,Industrials,272.76,0.6451612903225806,3225.8064516129034,11,3225.8064516129034,0.8265378047107479,MARKET
JCI,Johnson Controls International plc,Industrials,140.76,0.6451612903225806,3225.8064516129034,22,3225.8064516129034,0.9170677153516884,MARKET
LMT,Lockheed Martin Corporation,Industrials,545.91,0.6451612903225806,3225.8064516129034,5,3225.8064516129034,0.9090444425141575,MARKET
MMM,3M Company,Industrials,160.44,0.6451612903225806,3225.8064516129034,20,3225.8064516129034,0.1059988258096709,MARKET
PH,Parker-Hannifin Corporation,Industrials,962.89,0.6451612903225806,3225.8064516129034,3,3225.8064516129034,0.35012976727653555,MARKET
PWR,"Quanta Services, Inc.",Industrials,668.31,0.6451612903225806,3225.8064516129034,4,3225.8064516129034,0.826811586857751,MARKET
RTX,RTX Corporation,Industrials,199.25,0.6451612903225806,3225.8064516129034,16,3225.8064516129034,0.18974379730440916,MARKET
TT,Trane Technologies plc,Industrials,478.13,0.6451612903225806,3225.8064516129034,6,3225.8064516129034,0.7467141815257428,MARKET
UNP,Union Pacific Corporation,Industrials,282.25,0.6451612903225806,3225.8064516129034,11,3225.8064516129034,0.428897968513386,MARKET
UPS,"United Parcel Service, Inc.",Industrials,110.66,0.6451612903225806,3225.8064516129034,29,3225.8064516129034,0.15060953924546894,MARKET
VRT,Vertiv Holdings Co,Industrials,300.53,0.6451612903225806,3225.8064516129034,10,3225.8064516129034,0.7337252574215682,MARKET
WM,"Waste Management, Inc.",Industrials,230.4,0.6451612903225806,3225.8064516129034,14,3225.8064516129034,0.0008960573476706202,MARKET
AAPL,Apple Inc.,Information Technology,308.63,0.6451612903225806,3225.8064516129034,10,3225.8064516129034,0.4520184415413393,MARKET
ADI,"Analog Devices, Inc.",Information Technology,377.16,0.6451612903225806,3225.8064516129034,8,3225.8064516129034,0.5528859147653602,MARKET
AMAT,"Applied Materials, Inc.",Information Technology,603.04,0.6451612903225806,3225.8064516129034,5,3225.806451612904,0.3492412636191693,MARKET
AMD,"Advanced Micro Devices, Inc.",Information Technology,517.82,0.6451612903225806,3225.8064516129034,6,3225.8064516129034,0.22959030476401665,MARKET
ANET,"Arista Networks, Inc.",Information Technology,159.99,0.6451612903225806,3225.8064516129034,20,3225.8064516129034,0.16255048198576816,MARKET
APH,Amphenol Corporation,Information Technology,164.59,0.6451612903225806,3225.8064516129034,19,3225.8064516129034,0.5990427827504909,MARKET
AVGO,Broadcom Inc.,Information Technology,360.45,0.6451612903225806,3225.8064516129034,8,3225.8064516129034,0.9493867432734184,MARKET
CRWD,"CrowdStrike Holdings, Inc.",Information Technology,193.98,0.6451612903225806,3225.8064516129034,16,3225.806451612904,0.6295826972517986,MARKET
CSCO,"Cisco Systems, Inc.",Information Technology,112.69,0.6451612903225806,3225.8064516129034,28,3225.8064516129034,0.6254898536951252,MARKET
DELL,Dell Technologies Inc.,Information Technology,394.32,0.6451612903225806,3225.8064516129034,8,3225.806451612903,0.1806818107448347,MARKET
GLW,Corning Incorporated,Information Technology,196.79,0.6451612903225806,3225.8064516129034,16,3225.8064516129034,0.39212587841304725,MARKET
INTC,Intel Corporation,Information Technology,120.35,0.6451612903225806,3225.8064516129034,26,3225.8064516129034,0.803543428441241,MARKET
KLAC,KLA Corporation,Information Technology,235.55,0.6451612903225806,3225.8064516129034,13,3225.8064516129034,0.6947843413835848,MARKET
LRCX,Lam Research Corporation,Information Technology,351.41,0.6451612903225806,3225.8064516129034,9,3225.8064516129034,0.17960915060158555,MARKET
MRVL,"Marvell Technology, Inc.",Information Technology,245.29,0.6451612903225806,3225.8064516129034,13,3225.8064516129034,0.150990466847011,MARKET
MU,"Micron Technology, Inc.",Information Technology,975.56,0.6451612903225806,3225.8064516129034,3,3225.8064516129034,0.3066202505360036,MARKET
NVDA,NVIDIA Corporation,Information Technology,194.83,0.6451612903225806,3225.8064516129034,16,3225.8064516129034,0.5570315229323164,MARKET
ORCL,Oracle Corporation,Information Technology,140.27,0.6451612903225806,3225.8064516129034,22,3225.8064516129034,0.9971230599052063,MARKET
PANW,"Palo Alto Networks, Inc.",Information Technology,348.06,0.6451612903225806,3225.8064516129034,9,3225.8064516129034,0.26796084471902404,MARKET
PLTR,Palantir Technologies Inc.,Information Technology,129.3,0.6451612903225806,3225.8064516129034,24,3225.8064516129034,0.9482324177332018,MARKET
QCOM,QUALCOMM Incorporated,Information Technology,176.25,0.6451612903225806,3225.8064516129034,18,3225.8064516129034,0.30244795241363676,MARKET
SNDK,Sandisk Corporation,Information Technology,1745.0,0.6451612903225806,3225.8064516129034,1,3225.8064516129034,0.8485996857380536,MARKET
STX,Seagate Technology Holdings plc,Information Technology,820.16,0.6451612903225806,3225.8064516129034,3,3225.8064516129034,0.93314286433489,MARKET
TXN,Texas Instruments Incorporated,Information Technology,293.08,0.6451612903225806,3225.8064516129034,11,3225.806451612904,0.0065731254705330144,MARKET
WDC,Western Digital Corporation,Information Technology,539.0,0.6451612903225806,3225.8064516129034,5,3225.8064516129034,0.9847986115267222,MARKET
CRH,CRH plc,Materials,107.53,0.6451612903225806,3225.8064516129034,29,3225.8064516129034,0.9991300252292703,MARKET
ECL,Ecolab Inc.,Materials,283.36,0.6451612903225806,3225.8064516129034,11,3225.8064516129034,0.38412779366496075,MARKET
FCX,Freeport-McMoRan Inc.,Materials,60.97,0.6451612903225806,3225.8064516129034,52,3225.8064516129034,0.9080933510399092,MARKET
LIN,Linde plc,Materials,546.64,0.6451612903225806,3225.8064516129034,5,3225.8064516129034,0.9011533214051362,MARKET
NEM,Newmont Corporation,Materials,97.04,0.6451612903225806,3225.8064516129034,33,3225.8064516129034,0.24202856155093855,MARKET
SHW,The Sherwin-Williams Company,Materials,352.48,0.6451612903225806,3225.8064516129034,9,3225.8064516129034,0.1517432240493175,MARKET
AMT,American Tower Corporation,Real Estate,166.03,0.6451612903225806,3225.8064516129034,19,3225.8064516129034,0.42905771013011673,MARKET
CBRE,"CBRE Group, Inc.",Real Estate,141.58,0.6451612903225806,3225.8064516129034,22,3225.806451612904,0.7843371352797242,MARKET
DLR,"Digital Realty Trust, Inc.",Real Estate,173.3,0.6451612903225806,3225.8064516129034,18,3225.806451612903,0.6140014518921113,MARKET
EQIX,"Equinix, Inc.",Real Estate,1002.02,0.6451612903225806,3225.8064516129034,3,3225.8064516129034,0.21930345862647815,MARKET
O,Realty Income Corporation,Real Estate,63.84,0.6451612903225806,3225.8064516129034,50,3225.8064516129034,0.5295496806532469,MARKET
PLD,"Prologis, Inc.",Real Estate,139.43,0.6451612903225806,3225.8064516129034,23,3225.8064516129034,0.13566988175359285,MARKET
PSA,Public Storage,Real Estate,329.64,0.6451612903225806,3225.8064516129034,9,3225.806451612904,0.78584653444031,MARKET
SPG,"Simon Property Group, Inc.",Real Estate,226.06,0.6451612903225806,3225.8064516129034,14,3225.8064516129034,0.2696914607312362,MARKET
VTR,"Ventas, Inc.",Real Estate,92.52,0.6451612903225806,3225.8064516129034,34,3225.8064516129034,0.8660446564299988,MARKET
WELL,Welltower Inc.,Real Estate,236.06,0.6451612903225806,3225.8064516129034,13,3225.8064516129034,0.6651972024608295,MARKET
FISV,"Fiserv, Inc.",Unknown,52.33,0.6451612903225806,3225.8064516129034,61,3225.8064516129034,0.6435400652188719,MARKET
AEP,"American Electric Power Company, Inc.",Utilities,138.51,0.6451612903225806,3225.8064516129034,23,3225.8064516129034,0.28933977050684945,MARKET
CEG,Constellation Energy Corporation,Utilities,239.25,0.6451612903225806,3225.8064516129034,13,3225.8064516129034,0.4829945730946843,MARKET
D,"Dominion Energy, Inc.",Utilities,69.75,0.6451612903225806,3225.8064516129034,46,3225.8064516129034,0.24812117007746792,MARKET
DUK,Duke Energy Corporation,Utilities,129.6,0.6451612903225806,3225.8064516129034,24,3225.8064516129034,0.8904818797291938,MARKET
ETR,Entergy Corporation,Utilities,115.11,0.6451612903225806,3225.8064516129034,28,3225.8064516129034,0.023685619085252796,MARKET
NEE,"NextEra Energy, Inc.",Utilities,88.34,0.6451612903225806,3225.8064516129034,36,3225.8064516129034,0.5158076931503643,MARKET
SO,The Southern Company,Utilities,97.98,0.6451612903225806,3225.8064516129034,32,3225.8064516129034,0.9231113657165082,MARKET
SRE,Sempra,Utilities,93.06,0.6451612903225806,3225.8064516129034,34,3225.8064516129034,0.6637271826015834,MARKET
VST,Vistra Corp.,Utilities,151.05,0.6451612903225806,3225.8064516129034,21,3225.8064516129034,0.35588514804967275,MARKET
XEL,Xcel Energy Inc.,Utilities,81.96,0.6451612903225806,3225.8064516129034,39,3225.8064516129034,0.35830224027456836,MARKET
