year,filing_status,lower,upper,rate
2035,married_filing_jointly,123050,796500,0.15
2035,married_filing_jointly,796500,100000000,0.20
2035,single,0,61525,0
2035,single,61525,708650,0.15
2035,single,708650,100000000,0.20
2036,married_filing_jointly,0,126150,0
2036,married_filing_jointly,126150,816400,0.15
2036,married_filing_jointly,816400,100000000,0.20
2036,single,0,63075,0
2036,single,63075,726550,0.15
2036,single,726550,100000000,0.20
2037,married_filing_jointly,0,129300,0
2037,married_filing_jointly,129300,836800,0.15
2037,married_filing_jointly,836800,100000000,0.20
2037,single,0,64650,0
2037,single,64650,744700,0.15
2037,single,744700,100000000,0.20
2038,married_filing_jointly,0,132550,0
2038,married_filing_jointly,132550,857700,0.15
2038,married_filing_jointly,857700,100000000,0.20
2038,single,0,66275,0
2038,single,66275,763300,0.15
2038,single,763300,100000000,0.20
2039,married_filing_jointly,0,135850,0
2039,married_filing_jointly,135850,879150,0.15
2039,married_filing_jointly,879150,100000000,0.20
2039,single,0,67925,0
2039,single,67925,782350,0.15
2039,single,782350,100000000,0.20
2040,married_filing_jointly,0,139250,0
2040,married_filing_jointly,139250,901150,0.15
2040,married_filing_jointly,901150,100000000,0.20
2040,single,0,69625,0
2040,single,69625,801950,0.15
2040,single,801950,100000000,0.20
2041,married_filing_jointly,0,142750,0
2041,married_filing_jointly,142750,923700,0.15
2041,married_filing_jointly,923700,100000000,0.20
2041,single,0,71375,0
2041,single,71375,822100,0.15
2041,single,822100,100000000,0.20
2042,married_filing_jointly,0,146300,0
2042,married_filing_jointly,146300,946800,0.15
2042,married_filing_jointly,946800,100000000,0.20
2042,single,0,73150,0
2042,single,73150,842700,0.15
2042,single,842700,100000000,0.20
2043,married_filing_jointly,0,149950,0
2043,married_filing_jointly,149950,970450,0.15
2043,married_filing_jointly,970450,100000000,0.20
2043,single,0,74975,0
2043,single,74975,863800,0.15
2043,single,863800,100000000,0.20
2044,married_filing_jointly,0,153700,0
2044,married_filing_jointly,153700,994700,0.15
2044,married_filing_jointly,994700,100000000,0.20
2044,single,0,76850,0
2044,single,76850,885350,0.15
2044,single,885350,100000000,0.20
2045,married_filing_jointly,0,157550,0
2045,married_filing_jointly,157550,1019550,0.15
2045,married_filing_jointly,1019550,100000000,0.20
2045,single,0,78775,0
2045,single,78775,907450,0.15
2045,single,907450,100000000,0.20
2046,married_filing_jointly,0,161500,0
2046,married_filing_jointly,161500,1045050,0.15
2046,married_filing_jointly,1045050,100000000,0.20
2046,single,0,80750,0
2046,single,80750,930250,0.15
2046,single,930250,100000000,0.20
2047,married_filing_jointly,0,165550,0
2047,married_filing_jointly,165550,1071200,0.15
2047,married_filing_jointly,1071200,100000000,0.20
2047,single,0,82775,0
2047,single,82775,953600,0.15
2047,single,953600,100000000,0.20
2048,married_filing_jointly,0,169700,0
2048,married_filing_jointly,169700,1098000,0.15
2048,married_filing_jointly,1098000,100000000,0.20
2048,single,0,84850,0
2048,single,84850,977500,0.15
2048,single,977500,100000000,0.20
2049,married_filing_jointly,0,173950,0
2049,married_filing_jointly,173950,1125450,0.15
2049,married_filing_jointly,1125450,100000000,0.20
2049,single,0,86975,0
2049,single,86975,1001900,0.15
2049,single,1001900,100000000,0.20
2050,married_filing_jointly,0,178300,0
2050,married_filing_jointly,178300,1153600,0.15
2050,married_filing_jointly,1153600,100000000,0.20
2050,single,0,89150,0
2050,single,89150,1026800,0.15
2050,single,1026800,100000000,0.20
2051,married_filing_jointly,0,182750,0
2051,married_filing_jointly,182750,1182450,0.15
2051,married_filing_jointly,1182450,100000000,0.20
2051,single,0,91375,0
2051,single,91375,1052200,0.15
2051,single,1052200,100000000,0.20
