year,lower,upper,part_b_monthly,part_a_monthly,part_d_base_monthly,part_d_irmaa_monthly
2042,483000,578000,574.68,0.00,55.99,86.67
2042,578000,1086000,707.28,0.00,55.99,119.61
2042,1086000,4000000,751.48,0.00,55.99,130.49
2043,0,324000,206.50,0.00,57.39,0.00
2043,324000,407000,309.48,0.00,57.39,21.31
2043,407000,495000,442.08,0.00,57.39,55.05
2043,495000,592000,574.68,0.00,57.39,88.84
2043,592000,1113000,707.28,0.00,57.39,122.60
2043,1113000,4000000,751.48,0.00,57.39,133.75
2044,0,332000,206.50,0.00,58.82,0.00
2044,332000,417000,309.48,0.00,58.82,21.84
2044,417000,507000,442.08,0.00,58.82,56.43
2044,507000,607000,574.68,0.00,58.82,91.06
2044,607000,1141000,707.28,0.00,58.82,125.67
2044,1141000,4000000,751.48,0.00,58.82,137.09
2045,0,340000,206.50,0.00,60.29,0.00
2045,340000,427000,309.48,0.00,60.29,22.39
2045,427000,520000,442.08,0.00,60.29,57.84
2045,520000,622000,574.68,0.00,60.29,93.34
2045,622000,1170000,707.28,0.00,60.29,128.81
2045,1170000,4000000,751.48,0.00,60.29,140.52
2046,0,348000,206.50,0.00,61.80,0.00
2046,348000,438000,309.48,0.00,61.80,22.95
2046,438000,533000,442.08,0.00,61.80,59.29
2046,533000,638000,574.68,0.00,61.80,95.67
2046,638000,1199000,707.28,0.00,61.80,132.03
2046,1199000,4000000,751.48,0.00,61.80,144.03
2047,0,357000,206.50,0.00,63.34,0.00
2047,357000,449000,309.48,0.00,63.34,23.52
2047,449000,546000,442.08,0.00,63.34,60.77
2047,546000,654000,574.68,0.00,63.34,98.06
2047,654000,1229000,707.28,0.00,63.34,135.33
2047,1229000,4000000,751.48,0.00,63.34,147.63
2048,0,366000,206.50,0.00,64.92,0.00
2048,366000,460000,309.48,0.00,64.92,24.11
2048,460000,560000,442.08,0.00,64.92,62.29
2048,560000,670000,574.68,0.00,64.92,100.51
2048,670000,1260000,707.28,0.00,64.92,138.72
2048,1260000,4000000,751.48,0.00,64.92,151.32
2049,0,375000,206.50,0.00,66.54,0.00
2049,375000,471000,309.48,0.00,66.54,24.71
2049,471000,574000,442.08,0.00,66.54,63.85
2049,574000,687000,574.68,0.00,66.54,103.02
2049,687000,1292000,707.28,0.00,66.54,142.19
2049,1292000,4000000,751.48,0.00,66.54,155.10
2050,0,384000,206.50,0.00,68.21,0.00
2050,384000,483000,309.48,0.00,68.21,25.33
2050,483000,588000,442.08,0.00,68.21,65.45
2050,588000,704000,574.68,0.00,68.21,105.59
2050,704000,1324000,707.28,0.00,68.21,145.74
2050,1324000,4000000,751.48,0.00,68.21,158.98
2051,0,394000,206.50,0.00,69.91,0.00
2051,394000,495000,309.48,0.00,69.91,25.96
2051,495000,603000,442.08,0.00,69.91,67.09
2051,603000,722000,574.68,0.00,69.91,108.23
2051,722000,1357000,707.28,0.00,69.91,149.38
2051,1357000,4000000,751.48,0.00,69.91,162.96
