month,year,account_name,account_type,owner,symbol,name,sector,qty,purchase_price,end_of_month_price,purchase_date
2,2026,Schwab,Roth,Joint,PG,Procter & Gamble,Consumer Defensive,200.0,155.0,167.1999969482422,2021-03-22
2,2026,Schwab,Roth,Joint,T,AT&T,Communication Services,800.0,20.0,27.719881057739258,2020-05-30
2,2026,Schwab,Brokerage,Joint,TSLA,Tesla,Automotive,100.0,250.0,402.510009765625,2022-11-01
2,2026,Schwab,Roth,Joint,VZ,Verizon,Communication Services,350.0,42.0,49.397029876708984,2021-01-15
2,2026,Vanguard,Brokerage,Joint,NVDA,NVIDIA,Technology,180.0,500.0,177.180419921875,2023-02-28
3,2026,Fidelity,Traditional,Spouse,MF:CASH,Money Market,MF:Cash,100000.0,1.0,1.0,2023-01-01
3,2026,Fidelity,Traditional,Spouse,VEXAX,Vanguard Extended Market Index Admiral,MF:Global,2250.0,120.0,156.1300048828125,2021-06-15
3,2026,Fidelity,Traditional,Spouse,VFIAX,Vanguard 500 Index Admiral,MF:Large-Cap,900.0,450.0,602.469970703125,2020-03-10
3,2026,Fidelity,Traditional,Joint,VSMAX,Vanguard Small-Cap Index Admiral,MF:Small-Cap,3250.0,95.0,125.45999908447266,2021-09-20
3,2026,PNC,Savings,Joint,MF:CASH,Money Market,MF:Cash,200000.0,1.0,1.0,2023-01-01
3,2026,Schwab,Brokerage,Joint,GOOGL,Alphabet Class A,Communication Services,175.0,140.0,287.55999755859375,2022-04-01
3,2026,Schwab,Brokerage,Joint,IBM,International Business Machines,Technology,1700.0,215.0,242.38999938964844,2025-09-15
3,2026,Schwab,Roth,Spouse,JNJ,Johnson & Johnson,Healthcare,1150.0,165.0,244.44000244140625,2020-11-05
3,2026,Schwab,Roth,Spouse,KO,Coca-Cola,Consumer Defensive,1400.0,62.5,76.05000305175781,2019-08-14
3,2026,Schwab,Brokerage,Joint,META,Meta Platforms,Communication Services,160.0,450.0,572.1300048828125,2023-01-20
3,2026,Schwab,Traditional,Joint,MF:CASH,Money Market,MF:Cash,20000.0,1.0,1.0,2023-01-01
3,2026,Schwab,Roth,Spouse,MF:CASH,Money Market,MF:Cash,55650.0,1.0,1.0,2023-01-01
3,2026,Schwab,Brokerage,Joint,MF:CASH,Money Market,MF:Cash,90900.0,1.0,1.0,2023-01-01
3,2026,Schwab,Brokerage,Joint,NFLX,Netflix,Communication Services,150.0,600.0,96.1500015258789,2022-07-11
3,2026,Schwab,Roth,Primary,OPEN,Opendoor Technologies Inc,Real Estate,7000.0,6.2,4.679999828338623,2025-11-03
3,2026,Schwab,Roth,Spouse,PG,Procter & Gamble,Consumer Defensive,200.0,155.0,144.44000244140625,2021-03-22
3,2026,Schwab,Roth,Spouse,T,AT&T,Communication Services,800.0,20.0,28.68973159790039,2020-05-30
3,2026,Schwab,Brokerage,Joint,TSLA,Tesla,Consumer Cyclical,100.0,250.0,371.75,2022-11-01
3,2026,Schwab,Roth,Joint,VZ,Verizon,Communication Services,350.0,42.0,49.45614242553711,2021-01-15
3,2026,Vanguard,Brokerage,Joint,NVDA,NVIDIA,Technology,180.0,500.0,174.39999389648438,2023-02-28
